referencia,residencial,industrial,comercial
2019-08-01,5201.82,7485.988,3575.392
2019-09-01,5376.428,7411.807,3768.173
2019-10-01,5668.331,7616.449,4084.436
2019-11-01,5967.916,7523.365,4293.625
2019-12-01,5682.864,7086.548,4194.166
2020-01-01,6159.441,7075.128,4229.304
2020-02-01,5890.217,7341.09,4191.409
2020-03-01,5894.607,7587.633,4072.869
2020-04-01,5678.228,6503.65,3318.789
2020-05-01,5426.561,6357.406,2982.078
2020-06-01,5400.703,6477.439,2860.468
2020-07-01,5496.332,7279.626,3015.118
2020-08-01,5671.487,7697.947,3198.269
2020-09-01,5756.787,7723.167,3431.649
2020-10-01,6241.392,8042.503,3890.202
2020-11-01,5999.235,7878.699,3718.647
2020-12-01,6377.972,7832.769,3965.809
